student_id,gender,cgpa,internships,projects,aptitude_score,communication_skill,certifications,placement_training,placement_status
106,Male,6.15,4,1,50,1,3,No,Yes
107,Female,6.4,1,3,85,5,5,No,Yes
108,Male,8.3,2,6,77,4,3,Yes,Yes
109,Male,8.11,2,2,44,1,1,No,Yes
110,Female,7.11,3,6,59,7,2,No,Yes
111,Female,5.39,0,4,87,6,4,No,Yes
112,Male,5.44,4,5,100,1,5,No,Yes
113,Male,8.66,1,4,73,8,2,Yes,Yes
114,Female,8.05,3,1,70,6,3,No,Yes
115,Female,8.22,1,3,66,8,2,No,Yes
116,Male,7.18,2,3,60,2,3,Yes,Yes
117,Female,6.98,1,5,63,10,3,No,Yes
118,Male,5.98,4,2,99,5,3,No,Yes
119,Male,5.14,4,2,85,3,2,Yes,Yes
120,Female,5.45,0,4,100,2,5,Yes,Yes
121,Female,9.48,2,5,85,5,3,No,Yes
122,Female,6.17,4,2,64,4,4,Yes,Yes
123,Male,6.33,3,3,99,9,2,Yes,Yes
124,Female,8.49,4,5,82,8,1,No,Yes
125,Female,6.66,4,5,64,8,2,Yes,Yes
126,Male,7.74,1,4,42,6,5,No,Yes
127,Female,6.85,1,4,42,3,4,No,Yes
128,Male,9.2,3,1,73,8,0,Yes,Yes
129,Female,9.18,1,1,70,5,2,No,Yes
130,Male,9.09,4,4,60,8,4,Yes,Yes
131,Male,6.13,2,2,87,2,3,Yes,Yes
132,Male,7.13,2,1,42,6,0,No,Yes
133,Female,6.8,1,2,73,7,4,Yes,Yes
134,Male,5.84,4,4,79,4,3,Yes,Yes
135,Male,7.21,2,4,56,1,3,No,Yes
136,Male,5.35,2,5,59,7,5,No,Yes
137,Female,9.06,1,4,94,8,0,Yes,Yes
138,Female,7.75,4,3,84,5,0,No,Yes
139,Female,5.04,0,5,87,8,2,Yes,Yes
140,Female,6.05,1,5,56,3,5,Yes,Yes
141,Male,6.48,3,1,77,6,5,Yes,Yes
142,Male,9.37,2,6,66,3,1,Yes,Yes
143,Female,7.55,2,2,56,8,2,No,Yes
144,Male,7.25,0,2,88,4,5,No,Yes
145,Female,5.43,3,1,56,9,0,No,Yes
146,Female,8.23,2,5,64,6,0,Yes,Yes
147,Female,5.12,4,3,98,10,1,Yes,Yes
148,Female,9.37,2,6,66,2,1,Yes,Yes
149,Male,6.46,3,1,46,4,4,Yes,Yes
150,Female,7.18,4,4,77,3,3,Yes,Yes
151,Female,7.96,2,1,84,6,1,No,Yes
152,Female,9.56,2,1,83,6,4,No,Yes
153,Male,6.91,1,1,100,8,0,Yes,Yes
154,Male,5.24,2,2,48,10,1,Yes,Yes
155,Male,7.81,1,3,89,3,4,Yes,Yes
156,Female,9.12,1,2,74,5,1,Yes,Yes
157,Male,5.63,2,2,77,6,0,Yes,Yes
158,Female,5.25,3,5,47,2,3,No,Yes
159,Female,7.46,0,4,72,4,4,Yes,Yes
160,Female,7.2,0,1,70,7,3,Yes,Yes
161,Female,8.42,3,1,97,2,2,Yes,Yes
162,Male,5.61,4,6,77,9,5,No,Yes
163,Female,9.77,4,3,69,9,4,No,Yes
164,Male,8.81,0,6,81,9,5,Yes,Yes
165,Female,7.17,1,4,61,8,3,No,Yes
166,Male,6.5,2,6,56,6,1,No,Yes
167,Male,5.44,0,1,67,2,5,No,No
168,Male,7.67,4,5,75,6,5,Yes,Yes
169,Female,6.7,3,6,43,5,4,No,Yes
170,Female,5.5,4,2,49,8,1,Yes,Yes
171,Female,9.06,2,1,88,5,4,Yes,Yes
172,Female,9.06,4,5,83,9,0,No,Yes
173,Male,5.87,2,3,62,1,1,Yes,Yes
174,Female,5.33,0,1,87,9,1,No,Yes
175,Female,7.18,1,3,59,6,4,Yes,Yes
176,Male,5.75,4,1,83,2,2,No,Yes
177,Female,7.33,3,4,57,4,4,Yes,Yes
178,Female,7.06,2,6,83,10,3,No,Yes
179,Male,6.06,4,1,40,4,2,Yes,Yes
180,Male,8.67,2,3,47,1,3,No,Yes
181,Male,5.62,4,6,54,9,4,No,Yes
182,Male,6.91,0,4,41,8,0,No,Yes
183,Female,7.75,3,3,47,7,0,No,Yes
184,Male,8.85,4,4,93,6,0,No,Yes
185,Male,6.17,4,4,73,2,3,No,Yes
186,Female,6.06,1,1,72,2,4,Yes,Yes
187,Female,6.69,1,2,46,3,2,Yes,Yes
188,Male,7.89,0,2,100,8,3,No,Yes
189,Female,9.15,2,2,68,2,3,No,Yes
190,Female,8.82,4,1,62,9,0,No,Yes
191,Female,7.17,0,3,93,5,0,Yes,Yes
192,Female,7.22,4,6,97,1,3,Yes,Yes
193,Female,7.9,4,2,43,8,0,No,Yes
194,Male,7.42,1,1,55,8,3,Yes,Yes
195,Female,6.79,2,4,66,6,5,Yes,Yes
196,Female,5.32,0,5,83,7,2,No,Yes
197,Male,6.6,4,6,49,6,2,No,Yes
198,Male,7.86,0,3,75,7,5,No,Yes
199,Male,8.22,4,1,81,7,4,No,Yes
200,Male,6.74,1,2,61,8,1,Yes,Yes
201,Male,5.74,2,1,72,9,5,Yes,Yes
202,Female,9.21,4,2,78,7,1,Yes,Yes
203,Male,8.99,4,2,86,8,0,No,Yes
204,Female,8.25,1,4,79,5,5,No,Yes
205,Male,7.56,2,4,97,4,2,No,Yes
206,Female,8.69,3,5,73,7,1,Yes,Yes
207,Male,9.19,0,6,70,6,4,Yes,Yes
208,Male,6.37,1,3,68,9,1,No,Yes
209,Male,9.54,1,4,96,6,0,No,Yes
210,Male,6.9,2,2,64,2,2,Yes,Yes
211,Male,6.53,0,6,81,6,1,Yes,Yes
212,Male,6.38,3,6,93,3,5,No,Yes
213,Female,7.95,0,1,56,4,1,No,Yes
214,Male,8.73,1,3,47,1,1,No,Yes
215,Female,5.3,3,5,74,1,5,Yes,Yes
216,Male,6.4,0,5,62,4,4,No,Yes
217,Male,8.19,0,5,63,2,4,Yes,Yes
218,Female,9.19,0,6,64,6,2,Yes,Yes
219,Female,8.78,2,2,86,2,4,No,Yes
220,Male,5.21,4,3,92,3,5,No,Yes
221,Female,8.03,1,1,85,8,0,No,Yes
222,Male,5.21,1,1,60,5,4,No,No
223,Female,6.22,1,3,62,1,5,No,Yes
224,Female,5.6,2,4,96,7,5,No,Yes
225,Female,6.63,1,4,84,8,2,No,Yes
226,Male,8.49,0,4,78,3,4,No,Yes
227,Female,5.49,2,6,58,5,3,No,Yes
228,Male,8.31,2,4,42,6,4,No,Yes
229,Female,8.07,0,1,82,7,2,Yes,Yes
230,Male,5.69,4,6,90,8,0,Yes,Yes
231,Male,6.13,2,3,64,10,0,Yes,Yes
232,Female,9.55,2,4,88,2,4,Yes,Yes
233,Female,6.91,2,2,47,1,5,Yes,Yes
234,Female,7.49,4,1,56,5,5,No,Yes
235,Male,9.78,2,6,98,8,1,Yes,Yes
236,Male,9.09,3,2,97,8,0,No,Yes
237,Female,8.41,4,5,58,5,1,Yes,Yes
238,Female,7.44,0,2,90,3,1,No,Yes
239,Male,6.73,4,3,69,9,1,Yes,Yes
240,Male,6.48,3,5,66,7,4,Yes,Yes
241,Male,9.67,0,4,69,9,2,Yes,Yes
242,Male,8.69,1,4,72,1,0,Yes,Yes
243,Female,5.79,2,6,54,6,4,No,Yes
244,Male,6.2,4,3,48,5,4,Yes,Yes
245,Male,7.84,4,2,50,10,5,No,Yes
246,Male,8.96,0,1,42,10,2,Yes,Yes
247,Female,7.97,0,4,96,9,2,No,Yes
248,Female,6.18,3,3,69,2,5,Yes,Yes
249,Male,7.11,3,4,53,6,4,Yes,Yes
250,Female,9.14,2,6,95,6,3,Yes,Yes
251,Female,7.47,0,3,55,8,0,No,Yes
252,Female,6.19,0,1,58,7,4,No,Yes
253,Male,9.62,1,3,99,10,5,No,Yes
254,Male,8.66,3,5,69,8,2,No,Yes
255,Male,5.43,3,5,69,4,1,No,Yes
256,Male,5.24,3,5,96,8,2,Yes,Yes
257,Male,7.07,2,6,63,7,2,Yes,Yes
258,Female,5.25,4,2,63,9,2,Yes,Yes
259,Female,7.42,4,3,92,10,5,Yes,Yes
260,Male,9.68,3,3,90,6,4,No,Yes
261,Male,5.96,4,4,72,1,0,Yes,Yes
262,Male,8.43,3,5,69,3,4,Yes,Yes
263,Female,9.47,2,2,65,10,5,No,Yes
264,Female,7.44,4,5,71,10,2,No,Yes
265,Male,6.77,0,4,77,5,5,Yes,Yes
266,Female,6.27,4,5,54,1,4,No,Yes
267,Male,7.52,4,4,49,4,0,Yes,Yes
268,Male,5.09,2,4,49,7,5,Yes,Yes
269,Female,7.41,4,4,95,1,5,Yes,Yes
270,Male,7.69,3,5,64,6,1,No,Yes
271,Female,7.62,2,5,70,4,1,No,Yes
272,Female,6.08,2,3,85,4,5,No,Yes
273,Female,7.3,4,6,57,5,0,No,Yes
274,Female,8.93,1,3,42,5,5,Yes,Yes
275,Female,9.44,2,6,70,4,1,No,Yes
276,Female,5.66,4,6,77,4,1,Yes,Yes
277,Male,8.06,0,1,66,6,5,No,Yes
278,Male,8.27,1,1,75,3,3,No,Yes
279,Female,8.12,2,3,58,1,0,Yes,Yes
280,Male,9.38,1,4,96,3,0,No,Yes
281,Female,5.89,2,1,40,5,4,Yes,Yes
282,Female,6.37,4,5,71,3,4,No,Yes
283,Female,5.93,0,3,50,8,5,No,Yes
284,Male,5.07,2,3,76,4,1,No,Yes
285,Female,7.47,0,4,82,2,1,Yes,Yes
286,Female,6.55,1,1,56,7,1,No,Yes
287,Female,9.58,2,5,86,10,0,No,Yes
288,Female,8.33,0,6,47,8,2,Yes,Yes
289,Female,8.29,2,6,47,5,2,Yes,Yes
290,Male,9.6,3,2,69,10,2,No,Yes
291,Female,8.64,1,2,83,10,0,No,Yes
292,Female,5.37,4,1,43,9,4,Yes,Yes
293,Male,5.79,4,4,47,4,5,No,Yes
294,Male,9.31,3,1,69,3,4,No,Yes
295,Female,7.71,4,4,83,5,5,Yes,Yes
296,Female,6.22,0,6,53,10,0,Yes,Yes
297,Female,6.65,0,5,43,2,3,Yes,Yes
298,Female,6.96,1,6,86,7,2,No,Yes
299,Female,9.17,3,4,45,9,1,No,Yes
300,Male,5.86,4,4,73,3,5,Yes,Yes
301,Male,8.63,2,4,83,9,3,No,Yes
302,Male,6.19,2,2,57,4,5,Yes,Yes
303,Male,8.89,3,5,89,1,1,Yes,Yes
304,Male,5.48,0,4,78,1,1,Yes,Yes
305,Female,7.11,4,2,88,1,1,No,Yes
306,Male,8.92,4,3,76,10,5,No,Yes
307,Male,6.45,1,6,73,4,3,No,Yes
308,Female,5.29,4,6,98,3,5,No,Yes
309,Female,5.23,2,6,82,7,4,No,Yes
310,Female,6.96,2,4,51,9,3,Yes,Yes
311,Male,6.44,1,4,98,1,4,No,Yes
312,Female,7.67,1,4,55,5,1,No,Yes
313,Male,9.43,2,1,74,4,0,No,Yes
314,Female,8.23,4,1,95,2,1,Yes,Yes
315,Female,6.0,2,3,98,1,1,Yes,Yes
316,Male,8.59,3,2,84,10,5,Yes,Yes
317,Female,9.39,4,3,89,5,3,No,Yes
318,Female,6.48,2,5,96,8,3,Yes,Yes
319,Female,8.66,2,2,63,6,3,Yes,Yes
320,Male,8.56,0,3,75,10,4,No,Yes
321,Female,5.73,2,2,64,10,1,No,Yes
322,Female,6.24,3,6,81,8,3,Yes,Yes
323,Female,5.81,4,4,51,9,5,Yes,Yes
324,Male,9.03,0,6,43,1,3,Yes,Yes
325,Male,5.33,1,1,53,9,3,No,Yes
326,Male,7.97,4,4,82,8,0,Yes,Yes
327,Female,5.06,4,6,57,9,2,Yes,Yes
328,Female,8.87,1,1,98,2,4,Yes,Yes
329,Male,5.92,4,3,92,6,2,No,Yes
330,Male,6.79,3,4,76,4,5,Yes,Yes
331,Female,8.28,0,6,94,1,0,No,Yes
332,Female,6.81,3,1,80,1,5,Yes,Yes
333,Male,7.4,3,6,90,6,4,Yes,Yes
334,Male,6.1,4,4,57,1,0,No,Yes
335,Male,5.86,2,1,53,10,1,No,Yes
336,Male,6.44,4,2,76,7,5,No,Yes
337,Female,8.63,1,6,86,2,4,No,Yes
338,Male,5.47,1,1,61,10,4,No,Yes
339,Female,5.14,2,4,71,4,2,No,Yes
340,Female,5.89,4,6,64,2,4,No,Yes
341,Male,8.42,0,3,49,7,5,Yes,Yes
342,Female,6.52,0,1,40,5,3,No,No
343,Female,5.49,0,2,67,8,4,No,Yes
344,Male,5.13,2,5,45,10,4,No,Yes
345,Female,5.06,3,4,89,2,5,Yes,Yes
346,Male,8.29,1,2,57,5,2,No,Yes
347,Male,5.3,3,3,66,5,3,Yes,Yes
348,Female,6.21,1,6,80,8,4,Yes,Yes
349,Female,5.51,2,1,100,7,2,No,Yes
350,Female,7.11,3,6,78,3,2,No,Yes
351,Male,7.3,1,4,60,5,5,No,Yes
352,Male,6.56,2,4,63,2,4,Yes,Yes
353,Male,8.27,4,1,100,8,5,Yes,Yes
354,Female,8.83,0,4,83,8,1,No,Yes
355,Male,6.21,1,6,67,7,0,No,Yes
356,Female,7.79,4,5,99,7,4,Yes,Yes
357,Female,8.37,4,5,80,2,0,Yes,Yes
358,Female,5.8,4,1,76,7,2,No,Yes
359,Male,5.05,2,2,72,9,4,Yes,Yes
360,Female,6.8,3,6,77,9,1,No,Yes
361,Male,7.32,2,4,98,2,0,Yes,Yes
362,Female,6.5,3,2,73,8,2,No,Yes
363,Male,7.1,3,3,44,5,0,Yes,Yes
364,Male,9.08,0,6,91,3,5,Yes,Yes
365,Male,7.65,2,5,67,8,1,No,Yes
366,Male,5.89,3,4,41,10,1,No,Yes
367,Female,6.87,1,2,57,2,4,Yes,Yes
368,Male,6.76,1,4,47,5,5,No,Yes
369,Female,7.87,4,4,77,2,2,No,Yes
370,Female,7.96,2,5,77,2,5,Yes,Yes
371,Female,5.57,2,1,51,6,5,Yes,Yes
372,Female,7.01,1,5,64,7,1,No,Yes
373,Male,7.66,3,3,48,3,2,No,Yes
374,Male,9.15,0,4,48,4,3,No,Yes
375,Female,8.29,3,6,93,8,3,Yes,Yes
376,Male,7.71,1,3,42,5,1,No,Yes
377,Male,8.75,4,6,89,8,4,Yes,Yes
378,Male,6.29,4,3,74,1,5,No,Yes
379,Male,9.75,0,6,93,4,2,Yes,Yes
380,Female,6.26,0,4,95,2,1,Yes,Yes
381,Female,9.13,4,6,67,3,4,Yes,Yes
382,Male,8.9,0,5,62,9,2,Yes,Yes
383,Female,9.7,2,3,76,5,4,Yes,Yes
384,Male,9.62,3,1,57,3,5,Yes,Yes
385,Male,5.7,2,2,88,7,3,Yes,Yes
386,Female,8.01,3,4,44,2,3,No,Yes
387,Female,7.18,3,3,77,1,5,Yes,Yes
388,Female,8.05,2,1,90,9,3,Yes,Yes
389,Female,8.96,3,3,60,5,2,Yes,Yes
390,Female,8.78,0,1,46,8,0,Yes,Yes
391,Male,7.12,0,4,52,3,5,No,Yes
392,Male,9.2,2,1,81,6,2,Yes,Yes
393,Female,8.19,1,1,65,5,5,Yes,Yes
394,Female,8.15,0,1,53,8,0,Yes,Yes
395,Male,7.49,3,1,40,6,0,No,Yes
396,Male,7.29,1,4,45,2,0,No,Yes
397,Female,9.23,1,4,89,3,5,Yes,Yes
398,Male,7.55,0,5,81,3,3,No,Yes
399,Male,8.01,1,4,79,8,1,Yes,Yes
400,Male,5.67,0,5,86,7,2,No,Yes
401,Female,8.8,1,3,81,2,1,No,Yes
402,Male,9.07,2,2,73,10,4,Yes,Yes
403,Female,6.42,0,2,71,7,0,Yes,Yes
404,Female,8.06,0,5,96,1,2,No,Yes
405,Male,6.86,4,4,63,9,5,Yes,Yes
406,Female,9.58,0,1,77,2,0,No,Yes
407,Male,5.19,0,4,72,5,5,No,Yes
408,Female,8.37,0,6,74,9,4,Yes,Yes
409,Female,5.4,0,5,98,4,1,No,Yes
410,Female,7.81,0,3,84,7,5,Yes,Yes
411,Male,6.17,3,1,69,10,4,Yes,Yes
412,Female,8.2,1,1,40,3,5,Yes,Yes
413,Male,7.38,2,5,73,5,1,No,Yes
414,Male,8.6,2,6,96,2,0,No,Yes
415,Female,6.31,0,3,85,10,5,Yes,Yes
416,Female,7.18,2,1,71,10,1,No,Yes
417,Male,6.22,0,5,83,2,1,Yes,Yes
418,Male,9.12,0,2,42,8,2,No,Yes
419,Male,5.86,0,5,91,7,1,No,Yes
420,Male,7.0,2,3,92,2,4,No,Yes
421,Male,7.41,0,2,54,9,0,No,Yes
422,Male,9.21,2,3,60,2,4,No,Yes
423,Male,6.77,2,5,90,5,5,Yes,Yes
424,Female,6.77,3,2,86,9,1,Yes,Yes
425,Male,9.48,0,2,74,6,5,Yes,Yes
426,Female,5.01,3,6,86,5,0,Yes,Yes
427,Male,7.02,0,2,85,5,0,Yes,Yes
428,Male,9.31,4,4,84,6,3,Yes,Yes
429,Male,7.43,3,1,77,10,0,No,Yes
430,Male,6.14,2,3,99,7,5,No,Yes
431,Female,7.17,1,1,100,4,1,Yes,Yes
432,Male,5.51,3,4,60,7,0,No,Yes
433,Male,7.17,3,3,94,2,0,Yes,Yes
434,Female,8.97,4,1,53,6,1,Yes,Yes
435,Male,9.65,3,5,43,5,2,Yes,Yes
436,Male,9.57,3,5,87,9,1,Yes,Yes
437,Female,5.49,1,1,40,1,1,Yes,No
438,Male,8.95,2,6,80,2,4,No,Yes
439,Male,5.1,0,2,97,8,1,Yes,Yes
440,Female,5.59,3,1,50,10,3,No,Yes
441,Female,5.14,3,2,62,4,1,No,Yes
442,Female,7.14,1,1,79,10,4,Yes,Yes
443,Female,7.39,4,4,43,2,2,No,Yes
444,Male,7.01,4,2,80,9,0,No,Yes
445,Female,7.3,3,3,98,10,4,No,Yes
446,Female,6.3,0,3,78,4,0,No,Yes
447,Male,8.88,3,5,62,10,1,Yes,Yes
448,Male,6.19,1,3,74,1,1,No,Yes
449,Female,9.49,1,2,55,10,2,No,Yes
450,Male,8.38,2,5,76,3,4,Yes,Yes
451,Female,7.6,1,4,42,2,0,Yes,Yes
452,Male,5.1,3,1,61,10,1,Yes,Yes
453,Female,8.44,2,1,41,3,4,Yes,Yes
454,Male,9.06,2,1,63,7,4,Yes,Yes
455,Female,6.45,1,2,86,7,5,No,Yes
456,Female,5.84,4,6,96,10,2,Yes,Yes
457,Male,6.82,2,2,51,1,5,No,Yes
458,Male,5.87,2,5,54,10,0,No,Yes
459,Male,6.59,0,2,62,6,1,Yes,Yes
460,Female,7.14,2,2,55,2,2,No,Yes
461,Male,8.46,0,4,68,7,1,No,Yes
462,Female,9.23,2,5,64,2,3,Yes,Yes
463,Male,7.17,0,3,41,6,2,Yes,Yes
464,Male,6.64,3,2,86,2,4,Yes,Yes
465,Female,7.85,4,4,85,1,3,Yes,Yes
466,Female,5.75,0,3,53,4,3,No,No
467,Female,6.43,0,1,65,10,4,No,Yes
468,Male,5.26,0,4,45,5,5,No,No
469,Male,5.47,1,2,80,5,0,No,Yes
470,Male,6.48,3,4,71,5,0,No,Yes
471,Male,6.78,3,3,51,8,0,No,Yes
472,Female,7.23,1,3,76,1,1,Yes,Yes
473,Male,8.21,4,4,88,10,1,Yes,Yes
474,Female,8.93,3,5,83,8,4,Yes,Yes
475,Female,6.43,3,6,42,9,4,Yes,Yes
476,Male,9.56,3,2,100,3,1,Yes,Yes
477,Male,5.2,0,6,67,4,5,Yes,Yes
478,Female,6.53,0,1,64,9,3,No,Yes
479,Female,7.49,0,6,79,10,4,No,Yes
480,Male,6.99,1,5,77,10,0,Yes,Yes
481,Male,8.77,4,3,96,7,2,No,Yes
482,Female,7.75,3,1,51,5,3,Yes,Yes
483,Female,5.19,2,6,55,1,5,No,Yes
484,Female,9.31,0,3,92,5,2,No,Yes
485,Female,9.12,0,2,48,5,5,No,Yes
486,Female,6.29,3,5,81,2,1,No,Yes
487,Male,9.38,3,6,71,9,2,Yes,Yes
488,Male,5.31,4,4,48,9,4,Yes,Yes
489,Male,5.93,1,1,55,1,3,Yes,No
490,Female,8.38,2,3,92,8,4,No,Yes
491,Male,8.27,1,3,71,10,3,Yes,Yes
492,Female,7.82,2,3,50,5,5,Yes,Yes
493,Female,5.13,0,2,94,10,1,Yes,Yes
494,Male,8.25,2,6,66,9,0,Yes,Yes
495,Female,9.38,1,5,91,1,1,No,Yes
496,Female,8.42,2,4,97,7,2,No,Yes
497,Female,6.05,2,6,73,10,3,Yes,Yes
498,Male,7.46,2,5,81,10,4,No,Yes
499,Female,8.29,3,1,61,5,5,No,Yes
500,Female,6.25,2,2,49,9,1,Yes,Yes
501,Female,8.17,1,6,41,8,2,No,Yes
502,Female,6.94,0,5,85,10,1,No,Yes
503,Male,8.29,3,6,62,9,2,Yes,Yes
504,Male,6.41,3,2,87,5,5,Yes,Yes
505,Female,8.14,1,3,54,5,3,No,Yes
506,Female,6.25,2,4,94,2,3,Yes,Yes
507,Male,7.27,1,5,47,7,4,No,Yes
508,Female,5.26,1,2,52,6,3,No,No
509,Male,6.52,1,1,71,6,5,Yes,Yes
510,Female,8.05,0,4,57,4,1,Yes,Yes
511,Female,8.77,0,2,79,7,5,No,Yes
512,Female,7.06,3,4,40,1,4,Yes,Yes
513,Female,9.56,2,5,52,1,5,Yes,Yes
514,Male,6.09,2,3,48,2,3,No,Yes
515,Male,5.31,0,3,100,5,3,No,Yes
516,Female,9.26,1,3,97,8,2,Yes,Yes
517,Male,9.55,3,1,54,4,5,Yes,Yes
518,Male,8.52,4,5,50,2,2,Yes,Yes
519,Female,9.21,2,5,79,1,4,Yes,Yes
520,Male,8.14,0,1,84,2,3,No,Yes
521,Female,5.59,2,4,84,3,1,Yes,Yes
522,Female,7.02,0,6,73,5,4,Yes,Yes
523,Female,8.99,0,5,86,10,0,No,Yes
524,Male,8.77,3,2,78,4,2,Yes,Yes
525,Female,8.38,2,2,42,9,3,Yes,Yes
526,Female,6.59,0,1,82,2,0,No,No
527,Male,9.56,4,1,86,2,2,Yes,Yes
528,Female,9.75,2,3,69,1,0,Yes,Yes
529,Male,9.09,2,6,60,7,5,Yes,Yes
530,Male,9.09,0,1,94,3,5,Yes,Yes
531,Female,6.72,3,5,57,2,2,No,Yes
532,Male,5.55,3,4,57,7,5,No,Yes
533,Female,8.11,1,1,48,1,1,Yes,Yes
534,Female,9.37,3,5,83,8,1,No,Yes
535,Female,7.93,1,4,98,8,0,No,Yes
536,Female,5.22,2,6,60,1,5,Yes,Yes
